ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE												
SMc00362	Translation initiation factor IF-3(infC)	Sinorhizobium meliloti 1021		GO:0005737~cytoplasm,	GO:0003743~translation initiation factor activity,	IPR001288:Translation initiation factor 3,IPR019814:Translation initiation factor 3, N-terminal,IPR019815:Translation initiation factor 3, C-terminal,			KW-0648~Protein biosynthesis,	KW-0963~Cytoplasm,			KW-0396~Initiation factor,														
SMa1292	U32 family peptidase(SM2011_RS03520)	Sinorhizobium meliloti 2011	GO:0006744~ubiquinone biosynthetic process,		GO:0046872~metal ion binding,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR001539:Peptidase U32,			KW-0831~Ubiquinone biosynthesis,			KW-0004~4Fe-4S,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,			METAL:Iron-sulfur (4Fe-4S),												
SMc01875	UDP-3-O-acyl-N-acetylglucosamine deacetylase(lpxC)	Sinorhizobium meliloti 1021	GO:0009245~lipid A biosynthetic process,		GO:0008759~UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity,GO:0046872~metal ion binding,GO:0103117~UDP-3-O-acyl-N-acetylglucosamine deacetylase activity,	IPR004463:UDP-3-O-acyl N-acetylglucosamine deacetylase,IPR011334:UDP-3-O-acyl N-acetylglucosamine deacetylase, C-terminal,IPR015870:UDP-3-O-acyl N-acetylglucosamine deacetylase, N-terminal,IPR020568:Ribosomal protein S5 domain 2-type fold,						KW-0862~Zinc,	KW-0378~Hydrolase,		ACT_SITE:Proton donor,METAL:Zinc,METAL:Zinc	 via tele nitrogen,											
SMc02099	UMP kinase(pyrH)	Sinorhizobium meliloti 2011	GO:0044210~'de novo' CTP biosynthetic process,	GO:0005737~cytoplasm,	GO:0005524~ATP binding,GO:0033862~UMP kinase activity,	IPR001048:Aspartate/glutamate/uridylate kinase,IPR011817:Uridylate kinase,IPR015963:Uridylate kinase, bacteria,	PIRSF005650:uridylate kinase,		KW-0665~Pyrimidine biosynthesis,	KW-0963~Cytoplasm,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0021~Allosteric enzyme,KW-0418~Kinase,KW-0808~Transferase,		BINDING:ATP,BINDING:ATP	 via amide nitrogen,BINDING:ATP	 via amide nitrogen and carbonyl oxygen,BINDING:UMP,BINDING:UMP	 via amide nitrogen,DOMAIN:AA_kinase,NP_BIND:ATP,NP_BIND:UMP,REGION:Involved in allosteric activation by GTP,									
SM_b20960	UTP--glucose-1-phosphate uridylyltransferase(C770_RS28215)	Sinorhizobium meliloti GR4	GO:0000271~polysaccharide biosynthetic process,GO:0006011~UDP-glucose metabolic process,GO:0009058~biosynthetic process,		GO:0003983~UTP:glucose-1-phosphate uridylyltransferase activity,	IPR005771:UTP--glucose-1-phosphate uridylyltransferase, bacterial/archaeal-type,IPR005835:Nucleotidyl transferase,			KW-0270~Exopolysaccharide synthesis,				KW-0548~Nucleotidyltransferase,KW-0808~Transferase,		DOMAIN:NTP_transferase,												
SM_b20960	UTP--glucose-1-phosphate uridylyltransferase(SM2011_RS11995)	Sinorhizobium meliloti 2011	GO:0000271~polysaccharide biosynthetic process,GO:0006011~UDP-glucose metabolic process,GO:0009058~biosynthetic process,		GO:0003983~UTP:glucose-1-phosphate uridylyltransferase activity,	IPR005771:UTP--glucose-1-phosphate uridylyltransferase, bacterial/archaeal-type,IPR005835:Nucleotidyl transferase,			KW-0270~Exopolysaccharide synthesis,				KW-0548~Nucleotidyltransferase,KW-0808~Transferase,		DOMAIN:NTP_transferase,												
SMa1285	UbiX family flavin prenyltransferase(SM2011_RS03500)	Sinorhizobium meliloti 2011			GO:0016829~lyase activity,	IPR003382:Flavoprotein,IPR004507:Phenylacrylic acid decarboxylase,						KW-0288~FMN,	KW-0456~Lyase,		BINDING:DMAP,BINDING:FMN,DOMAIN:Flavoprotein,NP_BIND:FMN,												
SM_b20096	Uncharacterized protein(SM_b20096)	Sinorhizobium meliloti 1021				IPR009794:Protein of unknown function DUF1362,	PIRSF008711:epothilone biosynthesis protein,																				
SM_b20551	Uncharacterized protein(SM_b20551)	Sinorhizobium meliloti 1021				IPR010385:Protein of unknown function DUF982,																					
SM_b20600	Uncharacterized protein(SM_b20600)	Sinorhizobium meliloti 1021													REGION:Disordered,												
SM_b20909	Uncharacterized protein(SM_b20909)	Sinorhizobium meliloti 1021		GO:0016021~integral component of membrane,						KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,				TRANSMEM:Helical,												
SMa0636	Uncharacterized protein(SMa0636)	Sinorhizobium meliloti 1021				IPR000644:Cystathionine beta-synthase, core,IPR007055:BON domain,IPR017080:Uncharacterised conserved protein UCP036990, CBS, BON,	PIRSF036990:uncharacterized protein with CBS and BON domains,	SM00116:CBS,			KW-0129~CBS domain,				DOMAIN:BON,DOMAIN:CBS,												
SMa1095	Usp domain-containing protein(SMa1095)	Sinorhizobium meliloti 1021				IPR006015:Universal stress protein A,IPR006016:UspA,									DOMAIN:Usp,REGION:Disordered,												
SMa1076	XRE family transcriptional regulator(SM2011_RS02935)	Sinorhizobium meliloti 2011			GO:0003677~DNA binding,	IPR001387:Helix-turn-helix,IPR010982:Lambda repressor-like, DNA-binding domain,IPR011051:RmlC-like cupin domain,IPR013096:Cupin 2, conserved barrel,IPR014710:RmlC-like jelly roll fold,		SM00530:HTH_XRE,							DOMAIN:HTH cro/C1-type,												
SMc00467	YcjX family protein(SM2011_RS23590)	Sinorhizobium meliloti 2011				IPR007413:Protein of unknown function DUF463, YcjX-like protein,	PIRSF019381:heat shock protein YcjX,																				
SMc03999	YdcH family protein(SM2011_RS33980)	Sinorhizobium meliloti 2011				IPR007420:Protein of unknown function DUF465,					KW-0175~Coiled coil,																
SMc02582	YkuD domain-containing protein(SMc02582)	Sinorhizobium meliloti 1021	GO:0009252~peptidoglycan biosynthetic process,		GO:0016740~transferase activity,	IPR005490:L,D-transpeptidase catalytic domain,							KW-0808~Transferase,		DOMAIN:YkuD,												
SMc02229	acyl-CoA dehydrogenase C-terminal domain-containing protein(SM2011_RS17020)	Sinorhizobium meliloti 2011			GO:0004085~butyryl-CoA dehydrogenase activity,GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors,GO:0050660~flavin adenine dinucleotide binding,	IPR006091:Acyl-CoA oxidase/dehydrogenase, central domain,IPR009075:Acyl-CoA dehydrogenase/oxidase C-terminal,IPR009100:Acyl-CoA dehydrogenase/oxidase,IPR013786:Acyl-CoA dehydrogenase/oxidase, N-terminal,IPR020953:Acyl-CoA dehydrogenase, N-terminal, bacteria,IPR025878:Acetyl-CoA dehydrogenase-like C-terminal domain,						KW-0274~FAD,			DOMAIN:Acyl-CoA_dh_1,DOMAIN:Acyl-CoA_dh_C,DOMAIN:Acyl-CoA_dh_M,DOMAIN:Acyl-CoA_dh_N,DOMAIN:AcylCoA_DH_N,												
SMc00977	acyl-CoA dehydrogenase(SM2011_RS18770)	Sinorhizobium meliloti 2011			GO:0003995~acyl-CoA dehydrogenase activity,GO:0008470~isovaleryl-CoA dehydrogenase activity,GO:0050660~flavin adenine dinucleotide binding,	IPR006089:Acyl-CoA dehydrogenase, conserved site,IPR006091:Acyl-CoA oxidase/dehydrogenase, central domain,IPR009075:Acyl-CoA dehydrogenase/oxidase C-terminal,IPR009100:Acyl-CoA dehydrogenase/oxidase,IPR013786:Acyl-CoA dehydrogenase/oxidase, N-terminal,IPR025878:Acetyl-CoA dehydrogenase-like C-terminal domain,						KW-0274~FAD,			DOMAIN:Acyl-CoA_dh_1,DOMAIN:Acyl-CoA_dh_C,DOMAIN:Acyl-CoA_dh_M,DOMAIN:Acyl-CoA_dh_N,												
SM_b21188	acyltransferase(C770_RS29335)	Sinorhizobium meliloti GR4		GO:0016021~integral component of membrane,	GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups,	IPR002656:Acyltransferase 3,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0012~Acyltransferase,KW-0808~Transferase,		DOMAIN:Acyl_transf_3,TRANSMEM:Helical,												
SM_b21188	acyltransferase(SM2011_RS10895)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups,	IPR002656:Acyltransferase 3,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0012~Acyltransferase,KW-0808~Transferase,		DOMAIN:Acyl_transf_3,TRANSMEM:Helical,												
SMc01169	alanine dehydrogenase(ald)	Sinorhizobium meliloti 2011	GO:0042853~L-alanine catabolic process,		GO:0000166~nucleotide binding,GO:0000286~alanine dehydrogenase activity,	IPR007698:Alanine dehydrogenase/PNT, NAD(H)-binding domain,IPR007886:Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal,IPR008141:Alanine dehydrogenase/pyridine nucleotide transhydrogenase,IPR008143:Alanine dehydrogenase/pyridine nucleotide transhydrogenase, conserved site-2,	PIRSF000183:alanine dehydrogenase,	SM01002:SM01002,SM01003:SM01003,				KW-0520~NAD,KW-0547~Nucleotide-binding,			ACT_SITE:Proton donor/acceptor,BINDING:NAD,BINDING:Substrate,DOMAIN:AlaDh_PNT_C,DOMAIN:AlaDh_PNT_N,NP_BIND:NAD,												
SMa1495	alanine--glyoxylate aminotransferase family protein(SM2011_RS04110)	Sinorhizobium meliloti 2011			GO:0004760~serine-pyruvate transaminase activity,	IPR000192:Aminotransferase, class V/Cysteine desulfurase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,IPR024169:Serine-pyruvate aminotransferase/2-aminoethylphosphonate-pyruvate transaminase,	PIRSF000524:serine--pyruvate aminotransferase,					KW-0663~Pyridoxal phosphate,	KW-0032~Aminotransferase,KW-0808~Transferase,		DOMAIN:Aminotran_5,												
SMa1296	alcohol dehydrogenase AdhP(adhP)	Sinorhizobium meliloti 2011			GO:0004022~alcohol dehydrogenase (NAD) activity,GO:0008270~zinc ion binding,GO:0016491~oxidoreductase activity,	IPR002328:Alcohol dehydrogenase, zinc-type, conserved site,IPR011032:GroES-like,IPR013149:Alcohol dehydrogenase, C-terminal,IPR013154:Alcohol dehydrogenase GroES-like,IPR020843:Polyketide synthase, enoylreductase,		SM00829:SM00829,				KW-0479~Metal-binding,KW-0520~NAD,KW-0862~Zinc,	KW-0560~Oxidoreductase,		DOMAIN:PKS_ER,METAL:Zinc	 catalytic,											
SMa1296	alcohol dehydrogenase(C770_RS22280)	Sinorhizobium meliloti GR4			GO:0004022~alcohol dehydrogenase (NAD) activity,GO:0008270~zinc ion binding,GO:0016491~oxidoreductase activity,	IPR002328:Alcohol dehydrogenase, zinc-type, conserved site,IPR011032:GroES-like,IPR013149:Alcohol dehydrogenase, C-terminal,IPR013154:Alcohol dehydrogenase GroES-like,IPR020843:Polyketide synthase, enoylreductase,		SM00829:SM00829,				KW-0479~Metal-binding,KW-0520~NAD,KW-0862~Zinc,	KW-0560~Oxidoreductase,		DOMAIN:PKS_ER,METAL:Zinc	 catalytic,											
SM_b20170	alcohol dehydrogenase(C770_RS32810)	Sinorhizobium meliloti GR4	GO:0006069~ethanol oxidation,		GO:0008270~zinc ion binding,	IPR002328:Alcohol dehydrogenase, zinc-type, conserved site,IPR011032:GroES-like,IPR013149:Alcohol dehydrogenase, C-terminal,IPR013154:Alcohol dehydrogenase GroES-like,IPR014183:Alcohol dehydrogenase class III/S-(hydroxymethyl)glutathione dehydrogenase,						KW-0479~Metal-binding,KW-0520~NAD,KW-0862~Zinc,			DOMAIN:ADH_N,DOMAIN:ADH_zinc_N,												
SM_b21558	aldehyde dehydrogenase(C770_RS28635)	Sinorhizobium meliloti GR4			GO:0016491~oxidoreductase activity,GO:0046872~metal ion binding,GO:0051537~2 iron, 2 sulfur cluster binding,	IPR001041:2Fe-2S ferredoxin-type domain,IPR002888:[2Fe-2S]-binding,IPR006058:2Fe-2S ferredoxin, iron-sulphur binding site,IPR006311:Twin-arginine translocation pathway, signal sequence,IPR012675:Beta-grasp domain,							KW-0560~Oxidoreductase,		DOMAIN:2Fe-2S ferredoxin-type,												
SM_b21284	allantoinase PuuE(puuE)	Sinorhizobium meliloti 2011	GO:0005975~carbohydrate metabolic process,GO:0006144~purine nucleobase metabolic process,GO:0019428~allantoin biosynthetic process,GO:0019628~urate catabolic process,		GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,GO:0051997~2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity,	IPR002509:Polysaccharide deacetylase,IPR011330:Glycoside hydrolase/deacetylase, beta/alpha-barrel,IPR017580:2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase, type 1,IPR017625:Putative urate catabolism protein,IPR018020:Oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,			KW-0536~Nodulation,KW-0659~Purine metabolism,				KW-0210~Decarboxylase,KW-0378~Hydrolase,KW-0456~Lyase,		DOMAIN:NodB homology,												
SM_b20099	alpha-amylase family protein(SM2011_RS07070)	Sinorhizobium meliloti 2011	GO:0005975~carbohydrate metabolic process,		GO:0016740~transferase activity,GO:0047471~maltose alpha-D-glucosyltransferase activity,	IPR006047:Glycosyl hydrolase, family 13, catalytic domain,IPR013780:Glycosyl hydrolase, family 13, all-beta,IPR017853:Glycoside hydrolase, superfamily,		SM00642:Aamy,					KW-0413~Isomerase,KW-0808~Transferase,		DOMAIN:Aamy,												
SMa1166	alpha/beta hydrolase(SM2011_RS03180)	Sinorhizobium meliloti 2011		GO:0016021~integral component of membrane,	GO:0016787~hydrolase activity,	IPR000073:Alpha/beta hydrolase fold-1,				KW-0472~Membrane,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0378~Hydrolase,		DOMAIN:AB hydrolase-1,REGION:Disordered,TRANSMEM:Helical,												
SMa0101	amidohydrolase(SM2011_RS00270)	Sinorhizobium meliloti 2011			GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,	IPR011059:Metal-dependent hydrolase, composite domain,IPR013108:Amidohydrolase 3,							KW-0378~Hydrolase,		DOMAIN:Amidohydro_3,												
SMa1819	amidohydrolase(SM2011_RS05005)	Sinorhizobium meliloti 2011			GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,	IPR006311:Twin-arginine translocation pathway, signal sequence,IPR011059:Metal-dependent hydrolase, composite domain,IPR013108:Amidohydrolase 3,					KW-0732~Signal,				DOMAIN:Amidohydro_3,												
SM_b21096	amino acid ABC transporter ATP-binding protein(SM2011_RS10035)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,GO:0015424~amino acid-transporting ATPase activity,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,							DOMAIN:ABC transporter,NP_BIND:ATP,												
SMc02049	aminomethyl-transferring glycine dehydrogenase(gcvP)	Sinorhizobium meliloti 2011	GO:0019464~glycine decarboxylation via glycine cleavage system,		GO:0004375~glycine dehydrogenase (decarboxylating) activity,	IPR003437:Glycine cleavage system P protein, homodimeric,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,IPR020581:Glycine cleavage system P protein,						KW-0663~Pyridoxal phosphate,	KW-0560~Oxidoreductase,														
SM_b21096	arginine ABC transporter ATP-binding protein(C770_RS30195)	Sinorhizobium meliloti GR4			GO:0005524~ATP binding,GO:0015424~amino acid-transporting ATPase activity,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		SM00382:AAA,							DOMAIN:ABC transporter,NP_BIND:ATP,												
SMa0682	arginine/lysine/ornithine decarboxylase(SM2011_RS01860)	Sinorhizobium meliloti 2011	GO:0006520~cellular amino acid metabolic process,	GO:0005737~cytoplasm,	GO:0004586~ornithine decarboxylase activity,GO:0008792~arginine decarboxylase activity,	IPR000310:Orn/Lys/Arg decarboxylase, major domain,IPR005308:Orn/Lys/Arg decarboxylase, N-terminal,IPR008286:Orn/Lys/Arg decarboxylase, C-terminal,IPR011193:Ornithine/lysine/arginine decarboxylase,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,	PIRSF009393:ornithine/lysine/arginine decarboxylase,						KW-0456~Lyase,		DOMAIN:OKR_DC_1,												
SMc02438	aspartate kinase(SM2011_RS27695)	Sinorhizobium meliloti 2011	GO:0009088~threonine biosynthetic process,GO:0009089~lysine biosynthetic process via diaminopimelate,		GO:0004072~aspartate kinase activity,GO:0005524~ATP binding,	IPR001048:Aspartate/glutamate/uridylate kinase,IPR001341:Aspartate kinase domain,IPR002912:ACT domain,IPR005260:Aspartate kinase, monofunctional class,IPR018042:Aspartate kinase, conserved site,	PIRSF000726:aspartate kinase,		KW-0457~Lysine biosynthesis,				KW-0418~Kinase,KW-0808~Transferase,		BINDING:ATP,BINDING:ATP	 via amide nitrogen and carbonyl oxygen,BINDING:Substrate,DOMAIN:ACT,NP_BIND:ATP,											
SMc01756	aspartate--tRNA ligase(aspS)	Sinorhizobium meliloti 2011	GO:0006422~aspartyl-tRNA aminoacylation,	GO:0005737~cytoplasm,	GO:0003676~nucleic acid binding,GO:0004815~aspartate-tRNA ligase activity,GO:0005524~ATP binding,GO:0050560~aspartate-tRNA(Asn) ligase activity,	IPR002312:Aspartyl/Asparaginyl-tRNA synthetase, class IIb,IPR004115:GAD domain,IPR004364:Aminoacyl-tRNA synthetase, class II (D/K/N),IPR004365:Nucleic acid binding, OB-fold, tRNA/helicase-type,IPR004524:Aspartate-tRNA ligase, class IIb, bacterial/mitochondrial-type,IPR006195:Aminoacyl-tRNA synthetase, class II,IPR012340:Nucleic acid-binding, OB-fold,			KW-0648~Protein biosynthesis,	KW-0963~Cytoplasm,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0030~Aminoacyl-tRNA synthetase,KW-0436~Ligase,		BINDING:ATP,BINDING:Aspartate,DOMAIN:AA_TRNA_LIGASE_II,NP_BIND:ATP,REGION:Aspartate,SITE:Important for tRNA non-discrimination,												
SMa1146	bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase(SM2011_RS03120)	Sinorhizobium meliloti 2011			GO:0005524~ATP binding,GO:0008080~N-acetyltransferase activity,GO:0043758~acetate-CoA ligase (ADP-forming) activity,	IPR000182:GNAT domain,IPR003781:CoA-binding,IPR013815:ATP-grasp fold, subdomain 1,IPR016102:Succinyl-CoA synthetase-like,IPR016181:Acyl-CoA N-acyltransferase,		SM00881:SM00881,							DOMAIN:N-acetyltransferase,												
SMc02061	biotin transport regulator(SM2011_RS22145)	Sinorhizobium meliloti 2011							KW-0804~Transcription,KW-0805~Transcription regulation,						REGION:Disordered,												
SM_b20605	branched-chain amino acid ABC transporter substrate-binding protein(C770_RS26295)	Sinorhizobium meliloti GR4				IPR017777:ABC transporter, urea, substrate-binding, UrtA,					KW-0732~Signal,																
SMa0621	cadmium-translocating P-type ATPase(cadA)	Sinorhizobium meliloti 2011		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005524~ATP binding,GO:0019829~cation-transporting ATPase activity,GO:0046872~metal ion binding,	IPR001757:Cation-transporting P-type ATPase,IPR006121:Heavy metal-associated domain, HMA,IPR008250:P-type ATPase, A  domain,IPR017969:Heavy-metal-associated, conserved site,IPR018303:P-type ATPase, phosphorylation site,IPR023214:HAD-like domain,IPR023298:P-type ATPase,  transmembrane domain,IPR023299:P-type ATPase, cytoplasmic domain N,IPR027256:Cation-transporting P-type ATPase, subfamily IB,				KW-0472~Membrane,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,		DOMAIN:HMA,TRANSMEM:Helical,												
